R_fighter,B_fighter,Merged,Merged2,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
Malcolm Gordon,Amir Albazi,Malcolm Gordon Amir Albazi 7/18/2020,Amir Albazi Malcolm Gordon 7/18/2020,135,-167,135,59.88023952,7/18/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Flyweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,172.72,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switch,170.18,180.34,125,30,26,0,0,0,0,0,0,0,0,0,-5.08,-7.62,-4,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Triangle Choke,1,4:42,282,400,230,500,350,700,350
Davi Ramos,Arman Tsarukyan,Davi Ramos Arman Tsarukyan 7/18/2020,Arman Tsarukyan Davi Ramos 7/18/2020,160,-200,160,50,7/18/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Lightweight,MALE,3,0,1,0,2,0.4,0,1.5,0.13,1,1,6,0,0,0,1,0,0,0,1,Orthodox,170.18,182.88,155,1,0,0,2.74,0.39,0.7,2.42,0.5,4,2,14,0,0,0,1,0,3,0,4,Orthodox,167.64,177.8,155,33,23,-1,1,-3,-3,-1,-8,0,0,-3,2.54,5.08,-10,-0.74,-0.7,-0.92,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,450,-145,400,1000,800,700
Carlos Felipe,Serghei Spivac,Carlos Felipe Serghei Spivac 7/18/2020,Serghei Spivac Carlos Felipe 7/18/2020,140,-177,140,56.49717514,7/18/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Heavyweight,MALE,3,1,0,0,2.08,0.39,0.6,3.74,0.66,1,2,6,0,0,0,0,0,1,0,1,Orthodox,190.5,198.12,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,245,25,25,1,0,1,1,2,6,0,0,1,7.62,7.62,0,2.08,0.6,3.74,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,M-DEC,,3,5:00,900,475,,1700,,240,
Calvin Kattar,Dan Ige,Calvin Kattar Dan Ige 7/15/2020,Dan Ige Calvin Kattar 7/15/2020,-286,220,29.85074627,245,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Featherweight,MALE,5,0,6,0,4.12,0.48,0.7,2.15,0.34,6,1,17,0,0,2,2,1,1,0,6,Orthodox,170.18,180.34,145,0,1,0,5.29,0.41,0,0.42,0.28,2,2,16,0,0,0,1,4,0,0,5,Orthodox,180.34,182.88,145,32,28,0,5,4,1,-1,1,0,-3,1,-10.16,-2.54,-4,-1.17,0.7,1.73,1,1,10,6,,,,,,,,,,6,,,,,,,,,,,,,10,,,,Red,U-DEC,,5,5:00,1500,220,400,900,650,-130,600
Tim Elliott,Ryan Benoit,Tim Elliott Ryan Benoit 7/15/2020,Ryan Benoit Tim Elliott 7/15/2020,-141,112,80,100,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Flyweight,MALE,3,1,0,0,2.8,0.4,0.2,0.2,0.16,1,4,17,0,0,1,0,2,0,0,3,Orthodox,165.1,172.72,125,3,0,0,3.41,0.46,1.2,4.31,0.55,2,9,33,1,0,0,3,0,1,0,4,Southpaw,170.18,167.64,125,33,30,-2,0,-1,-1,-5,-16,-1,2,-1,-5.08,5.08,-3,-0.61,-1,-4.11,1,1,,12,,,,,,,,,,,,12,,,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,160,275,300,700,1000,350
Jimmie Rivera,Cody Stamann,Jimmie Rivera Cody Stamann 7/15/2020,Cody Stamann Jimmie Rivera 7/15/2020,-141,112,70.92198582,112,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Featherweight,MALE,3,0,1,1,4.51,0.49,0,3.34,0.48,3,1,20,0,0,2,3,0,0,0,5,Orthodox,167.64,162.56,145,2,0,0,4.1,0.4,0,0.7,0.23,5,3,23,0,0,1,4,1,0,0,6,Orthodox,162.56,172.72,145,31,30,-2,2,-2,-1,-2,-3,0,-1,0,5.08,-10.16,-1,0.41,0,2.64,1,1,,,,,,,,,,,,,9,,,,,,,,,,,,,10,,,neither,U-DEC,,3,5:00,900,115,150,1000,750,750,650
Molly McCann,Taila Santos,Molly McCann Taila Santos 7/15/2020,Taila Santos Molly McCann 7/15/2020,-152,120,80,100,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Women's Flyweight,FEMALE,3,1,0,0,4.23,0.49,1,1,1,0,1,3,0,0,0,0,0,0,0,0,Orthodox,165.1,172.72,125,0,3,0,6.49,0.49,0.9,2.59,0.33,3,1,11,0,0,0,3,0,0,0,3,Orthodox,162.56,157.48,125,30,27,1,-3,-3,-3,0,-8,0,0,0,2.54,15.24,-3,-2.26,0.1,-1.59,1,1,,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,115,220,1250,850,600,625
Abdul Razak Alhassan,Mounir Lazzez,Abdul Razak Alhassan Mounir Lazzez 7/15/2020,Mounir Lazzez Abdul Razak Alhassan 7/15/2020,-345,260,28.98550725,260,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Welterweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,170,0,3,0,4.59,0.46,0,0.57,0.33,3,1,7,0,0,0,0,4,0,0,4,Orthodox,177.8,185.42,170,34,32,0,-3,-3,-4,-1,-7,0,-4,0,7.62,0,-2,-4.59,0,-0.57,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,575,600,1100,1500,-210,350
John Phillips,Khamzat Chimaev,John Phillips Khamzat Chimaev 7/15/2020,Khamzat Chimaev John Phillips 7/15/2020,271,-375,260,28.98550725,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Middleweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,187.96,185,0,1,0,2.64,0.34,0,0,0,1,3,8,0,0,0,0,1,0,0,1,Southpaw,180.34,190.5,185,35,26,0,-1,-1,-1,-3,-8,0,-1,0,7.62,-2.54,-9,-2.64,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,D'Arce Choke,2,1:12,372,750,550,1200,-145,475,375
Ricardo Ramos,Lerone Murphy,Ricardo Ramos Lerone Murphy 7/15/2020,Lerone Murphy Ricardo Ramos 7/15/2020,-162,130,61.72839506,130,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Featherweight,MALE,3,0,0,1,1.87,0.35,2,0,0,0,0,3,0,0,0,0,0,0,0,0,Orthodox,175.26,185.42,145,0,2,0,3.05,0.39,0.7,2.13,0.64,3,1,14,0,0,1,2,1,1,0,5,Orthodox,175.26,182.88,145,24,28,0,-2,-3,-5,-1,-11,0,-1,-1,0,2.54,4,-1.18,1.3,-2.13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1,4:18,258,160,300,300,2000,850,425
Modestas Bukauskas,Andreas Michailidis,Modestas Bukauskas Andreas Michailidis 7/15/2020,Andreas Michailidis Modestas Bukauskas 7/15/2020,-177,140,47.61904762,165,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Light Heavyweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switch,190.5,190.5,205,26,31,0,0,0,0,0,0,0,0,0,-7.62,-7.62,5,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,,1,5:00,300,375,550,900,1000,120,300
Jared Gordon,Chris Fishgold,Jared Gordon Chris Fishgold 7/15/2020,Chris Fishgold Jared Gordon 7/15/2020,-143,115,66.66666667,120,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Featherweight,MALE,3,1,0,0,2.53,0.31,1.5,4.55,0.5,1,2,5,0,0,0,0,0,1,0,1,Orthodox,172.72,172.72,145,1,0,0,6.26,0.54,0,2.98,0.39,2,3,13,0,0,0,2,1,0,0,3,Orthodox,175.26,172.72,145,31,28,0,0,-1,-2,-1,-8,0,-1,1,-2.54,0,-3,-3.73,1.5,1.57,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,200,600,625,300,400,350
Diana Belbita,Liana Jojua,Diana Belbita Liana Jojua 7/15/2020,Liana Jojua Diana Belbita 7/15/2020,-195,155,59.88023952,135,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Women's Flyweight,FEMALE,3,1,0,0,1.53,0.42,0,2.41,0.66,0,1,3,0,0,0,0,0,0,0,0,Orthodox,162.56,157.48,125,1,0,0,6.53,0.38,0,1,1,0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,125,24,25,0,0,0,0,0,0,0,0,0,-7.62,-15.24,1,-5,0,1.41,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar,1,2:43,163,110,300,700,475,350,1500
Jack Shore,Aaron Phillips,Jack Shore Aaron Phillips 7/15/2020,Aaron Phillips Jack Shore 7/15/2020,-715,475,13.98601399,475,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Bantamweight,MALE,3,2,0,0,1.87,0.59,0.5,0,0,0,2,6,0,0,0,0,0,0,0,0,Southpaw,175.26,177.8,135,0,1,0,3.58,0.5,1.2,4.67,0.57,1,0,3,0,0,0,0,0,1,0,1,Orthodox,172.72,180.34,135,25,30,2,-1,-1,-1,2,3,0,0,-1,2.54,-2.54,5,-1.71,-0.7,-4.67,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2,2:29,449,265,750,-150,1200,325,475
Kamaru Usman,Jorge Masvidal,Kamaru Usman Jorge Masvidal 44142,Jorge Masvidal Kamaru Usman 44142,-240,190,41.66666667,190,07-11-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,TRUE,Welterweight,MALE,5,0,3,0,4.33,0.47,0.4,1.7,0.59,4,7,65,1,0,1,8,7,1,0,17,Orthodox,180.34,187.96,170,0,11,0,4.6,0.52,0.2,3.44,0.5,11,0,38,3,0,0,8,2,1,0,11,Switch,182.88,193.04,170,33,36,0,-8,-7,6,-7,27,-2,5,0,-2.54,-5.08,-3,-0.27,0.2,-1.74,1,1,3,0,,,,,,,,0,,,,,6,,,,,,,,3,,,,,,Red,U-DEC,,5,5:00,1500,110,1075,575,2150,200,295
Alexander Volkanovski,Max Holloway,Alexander Volkanovski Max Holloway 44142,Max Holloway Alexander Volkanovski 44142,-210,170,47.61904762,170,07-11-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,TRUE,Featherweight,MALE,3,1,0,0,6.66,0.44,0.4,0.24,0.83,13,5,65,7,0,1,5,9,2,0,17,Orthodox,180.34,175.26,145,0,8,0,6.15,0.57,0.4,2.16,0.34,8,0,23,1,0,0,5,3,0,0,8,Orthodox,167.64,180.34,145,31,28,1,-8,5,9,5,42,6,6,2,12.7,-5.08,-3,0.51,0,-1.92,1,1,1,0,,,,,,,,,,0,,,7,,,,,,,,,,1,,,9,Red,S-DEC,,5,5:00,1500,100,250,900,1000,300,400
Petr Yan,Jose Aldo,Petr Yan Jose Aldo 44142,Jose Aldo Petr Yan 44142,-215,175,46.51162791,175,07-11-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,TRUE,Bantamweight,MALE,3,2,0,0,3.47,0.44,0.1,0.64,0.65,15,5,68,14,0,0,7,11,0,0,18,Orthodox,170.18,177.8,135,0,6,0,5.65,0.46,0.2,1.73,0.53,6,0,15,0,0,0,3,3,0,0,6,Switch,170.18,170.18,135,27,33,2,-6,9,12,5,53,14,8,0,0,7.62,6,-2.18,-0.1,-1.09,1,1,6,3,,,,,,,,,,,3,,,,,,,,,,,,13,6,,,Red,KO/TKO,Punches,5,3:24,1404,240,400,1200,1000,110,375
Jessica Andrade,Rose Namajunas,Jessica Andrade Rose Namajunas 44142,Rose Namajunas Jessica Andrade 44142,175,-215,175,46.51162791,07-11-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Women's Strawweight,FEMALE,3,1,0,0,3.95,0.42,0.9,2.17,0.55,3,3,25,4,0,0,2,1,3,0,6,Orthodox,165.1,165.1,115,1,0,0,6.55,0.51,0.5,3.21,0.58,4,5,36,3,0,1,5,3,2,0,11,Orthodox,154.94,157.48,115,28,28,0,0,-1,-5,-2,-11,1,-2,1,10.16,7.62,0,-2.6,0.4,-1.04,1,1,2,1,,,1,,,,,,,,,,4,,,2,,,,,,,,,,6,Red,S-DEC,,3,5:00,900,300,155,1000,350,450,300
Amanda Ribas,Paige VanZant,Amanda Ribas Paige VanZant 44142,Paige VanZant Amanda Ribas 44142,-770,500,12.98701299,500,07-11-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Women's Flyweight,FEMALE,3,0,1,0,3.4,0.52,1,1.31,0.33,3,3,22,0,0,0,1,2,2,0,5,Orthodox,162.56,165.1,115,0,3,0,4.84,0.44,1.6,2.02,0.5,3,0,8,0,0,0,2,0,1,0,3,Orthodox,160.02,167.64,115,26,26,0,-2,0,2,3,14,0,2,1,2.54,-2.54,0,-1.44,-0.6,-0.71,1,1,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar,1,2:21,141,115,,165,,350,
Volkan Oezdemir,Jiri Prochazka,Volkan Oezdemir Jiri Prochazka 44142,Jiri Prochazka Volkan Oezdemir 44142,-159,129,62.89308176,129,07-11-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Light Heavyweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,193.04,193.04,205,0,2,0,4.88,0.45,0,0.39,0.22,3,3,18,1,0,2,0,3,0,0,5,Orthodox,187.96,190.5,205,30,27,0,-2,-3,-5,-3,-18,-1,-3,0,5.08,2.54,-3,-4.88,0,-0.39,1,1,,7,,,,,,7,,,,,,,,,,,,,,,,,,,,,Red,KO/TKO,Punch,2,0:49,349,325,400,1500,1200,135,250
Elizeu Zaleski dos Santos,Muslim Salikhov,Elizeu Zaleski dos Santos Muslim Salikhov 44142,Muslim Salikhov Elizeu Zaleski dos Santos 44142,108,-134,108,74.62686567,07-11-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Welterweight,MALE,3,0,3,0,2.92,0.46,0,1.22,0.42,3,1,8,0,0,0,1,2,0,0,3,Orthodox,180.34,177.8,170,0,1,0,4.17,0.39,0.5,0.65,0.2,7,2,25,0,0,1,3,3,1,0,8,Orthodox,180.34,185.42,170,33,36,0,2,-4,-5,-1,-17,0,-1,-1,0,-7.62,3,-1.25,-0.5,0.57,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,215,300,450,1400,550,185
Makwan Amirkhani,Danny Henry,Makwan Amirkhani Danny Henry 44142,Danny Henry Makwan Amirkhani 44142,-215,170,46.51162791,170,07-11-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Featherweight,MALE,3,1,0,0,5.85,0.53,2.7,0.89,0.33,2,1,5,0,0,0,1,0,1,0,2,Orthodox,182.88,185.42,145,1,0,0,1.6,0.47,1.5,3.39,0.34,3,2,16,0,0,1,1,1,2,0,5,Southpaw,177.8,182.88,145,31,31,0,0,-1,-3,-1,-11,0,-1,-1,5.08,2.54,0,4.25,1.2,-2.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Anaconda Choke,1,3:15,195,240,425,185,625,800,700
Leonardo Santos,Roman Bogatov,Leonardo Santos Roman Bogatov 44142,Roman Bogatov Leonardo Santos 44142,-177,145,56.49717514,145,07-11-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,172.72,155,0,6,1,2.4,0.41,0.4,1.1,0.25,5,0,15,1,0,1,1,2,2,0,6,Orthodox,182.88,190.5,155,40,29,0,-6,-5,-6,0,-15,-1,-2,-2,-10.16,-17.78,-11,-2.4,-0.4,-1.1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,215,200,450,900,550,800
Marcin Tybura,Maxim Grishin,Marcin Tybura Maxim Grishin 44142,Maxim Grishin Marcin Tybura 44142,-112,-112,89.28571429,89.28571429,07-11-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Heavyweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,198.12,265,0,1,0,3.52,0.5,0.1,1.54,0.5,3,5,28,0,0,0,3,2,0,0,5,Orthodox,190.5,198.12,249,34,36,0,-1,-3,-5,-5,-28,0,-2,0,0,0,-2,-3.52,-0.1,-1.54,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,200,300,700,1200,400,200
Raulian Paiva,Zhalgas Zhamagulov,Raulian Paiva Zhalgas Zhamagulov 44142,Zhalgas Zhamagulov Raulian Paiva 44142,-180,142,55.55555556,142,07-11-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Flyweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switch,162.56,162.56,125,0,1,0,4.81,0.43,0.3,0.35,0.2,1,2,6,0,0,0,0,1,0,0,1,Orthodox,172.72,175.26,125,24,31,0,-1,-1,-1,-2,-6,0,-1,0,-10.16,-12.7,7,-4.81,-0.3,-0.35,1,1,,14,,,,,,,,,,,,14,,,,,,,,,,,,,,,Red,,,,,,145,,500,,525,
Karol Rosa,Vanessa Melo,Karol Rosa Vanessa Melo 44142,Vanessa Melo Karol Rosa 44142,-250,195,40,195,07-11-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Women's Bantamweight,FEMALE,3,2,0,0,3.6,0.28,0,0,0,0,2,6,0,0,0,0,0,0,0,0,Orthodox,165.1,165.1,135,0,1,0,11.4,0.48,0,0,0,1,0,3,0,0,1,0,0,0,0,1,Orthodox,165.1,170.18,135,25,32,2,-1,-1,-1,2,3,0,0,0,0,-5.08,7,-7.8,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,-145,325,550,1125,500,1250
Martin Day,Davey Grant,Martin Day Davey Grant 44142,Davey Grant Martin Day 44142,-162,130,61.72839506,130,07-11-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Bantamweight,MALE,3,0,1,0,3.13,0.52,0,2.64,0.47,1,3,12,1,0,1,1,0,0,0,2,Orthodox,172.72,175.26,135,1,0,0,5.6,0.49,1,1,0.66,0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,135,31,34,-1,1,1,2,2,9,1,0,0,-5.08,-10.16,3,-2.47,-1,1.64,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,3,2:38,758,180,220,600,600,350,1000
Dustin Poirier,Dan Hooker,Dustin Poirier Dan Hooker 6/27/2020,Dan Hooker Dustin Poirier 6/27/2020,-225,180,44.44444444,180,6/27/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Lightweight,MALE,5,0,3,0,4.76,0.45,0.3,0.43,0.28,4,4,32,0,0,1,1,6,2,0,10,Switch,182.88,190.5,155,1,0,0,5.51,0.49,1.2,1.55,0.37,5,6,57,2,1,0,5,9,3,0,18,Southpaw,175.26,182.88,155,31,30,-1,3,-1,-8,-2,-25,-2,-3,-1,7.62,7.62,-1,-0.75,-0.9,-1.12,1,1,5,3,,,,,,,,,3,,,,11,,,,,,,,,5,,,,,Red,U-DEC,,5,5:00,1500,250,500,550,700,100,325
Mike Perry,Mickey Gall,Mike Perry Mickey Gall 6/27/2020,Mickey Gall Mike Perry 6/27/2020,-315,235,31.74603175,235,6/27/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,3,0,1,0,2.22,0.43,2.7,1.5,0.38,3,2,13,0,0,0,1,0,4,0,5,Switch,187.96,187.96,170,2,0,0,4.27,0.47,0,0.61,0.41,2,6,27,0,0,1,1,4,0,0,6,Orthodox,177.8,180.34,170,28,28,-2,1,1,-1,-4,-14,0,-4,4,10.16,7.62,0,-2.05,2.7,0.89,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,375,650,1700,325,-170,750
Brendan Allen,Kyle Daukaus,Brendan Allen Kyle Daukaus 6/27/2020,Kyle Daukaus Brendan Allen 6/27/2020,-305,235,32.78688525,235,6/27/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,3,0,0,0,4.53,0.67,4,2,0.4,0,0,0,0,0,0,0,0,0,0,0,Southpaw,190.5,193.04,185,0,2,0,2.62,0.59,4.5,2.68,0.37,2,0,3,0,0,0,0,1,1,0,2,Orthodox,187.96,190.5,185,24,27,0,-2,-2,-2,0,-3,0,-1,-1,2.54,2.54,3,1.91,-0.5,-0.68,1,1,,13,,,,,,,13,,,,,,,,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,215,600,160,400,375,700
Gian Villante,Maurice Greene,Gian Villante Maurice Greene 6/27/2020,Maurice Greene Gian Villante 6/27/2020,180,-230,180,43.47826087,6/27/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Heavyweight,MALE,3,2,0,0,4.19,0.44,0.5,0,0,3,2,8,0,0,1,0,1,1,0,3,Orthodox,200.66,203.2,258,1,0,0,4.26,0.42,0,0.53,0.23,3,10,49,0,0,3,2,5,0,0,10,Orthodox,190.5,193.04,205,34,33,1,0,0,-7,-8,-41,0,-4,1,10.16,10.16,-1,-0.07,0.5,-0.53,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Arm Triangle,3,3:44,824,400,325,900,575,500,-115
Luis Pena,Khama Worthy,Luis Pena Khama Worthy 6/27/2020,Khama Worthy Luis Pena 6/27/2020,-250,195,40,195,6/27/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,3,0,1,0,4.94,0.41,0,0,0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,180.34,187.96,155,0,1,0,3.32,0.46,1,1,0.29,2,2,16,0,0,0,2,1,1,0,4,Southpaw,190.5,190.5,155,26,33,0,0,-1,-3,-2,-15,0,0,-1,-10.16,-2.54,7,1.62,-1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke,3,2:53,773,195,550,210,1900,400,350
Mara Romero Borella,Miranda Maverick,Mara Romero Borella Miranda Maverick 6/27/2020,Miranda Maverick Mara Romero Borella 6/27/2020,230,-305,230,32.78688525,6/27/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Flyweight,FEMALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,160.02,165.1,125,3,0,0,2.54,0.37,0.2,1.66,0.43,1,4,14,0,0,1,0,0,1,0,2,Orthodox,167.64,175.26,125,34,22,-3,0,-1,-2,-4,-14,0,0,-1,-7.62,-10.16,-12,-2.54,-0.2,-1.66,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Philipe Lins,Tanner Boser,Philipe Lins Tanner Boser 6/27/2020,Tanner Boser Philipe Lins 6/27/2020,-112,-112,89.28571429,89.28571429,6/27/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Heavyweight,MALE,3,1,0,0,4.17,0.49,0,0,0,1,1,6,0,0,0,1,0,0,0,1,Orthodox,187.96,190.5,255,1,0,0,2.73,0.41,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,187.96,198.12,240,34,28,0,0,1,1,0,3,0,0,0,0,-7.62,-6,1.44,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1,2:41,161,220,155,1500,2500,300,550
