R_fighter,B_fighter,Merged,Merged2,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
Bryan Barberena,Joe Proctor,Bryan Barberena Joe Proctor 4/22/2017,Joe Proctor Bryan Barberena 4/22/2017,-330,270,30.3030303,270,4/22/2017,"Nashville, Tennessee, USA", USA,Red,FALSE,Welterweight,MALE,3,1,0,0,30.57142857,0.388571429,1.142857143,0,0,2,3,14,0,0,0,1,2,1,0,4,Orthodox,177.8,182.88,155,1,0,0,68.8,0.476,0.2,0.4,0.266,2,2,14,0,0,0,1,1,1,0,3,Southpaw,182.88,182.88,170,27,31,0,0,0,1,-1,0,0,1,0,-5.08,0,-4,-38.22857143,0.942857143,-0.4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,3:30,210,159,452,650,1300,207,1150
Hector Sandoval,Matt Schnell,Hector Sandoval Matt Schnell 4/22/2017,Matt Schnell Hector Sandoval 4/22/2017,130,-150,130,66.66666667,4/22/2017,"Nashville, Tennessee, USA", USA,Red,FALSE,Flyweight,MALE,3,1,0,0,14,0.42,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,135,0,1,0,19,0.435,1,1,0.08,1,1,4,0,0,0,1,0,0,0,1,Orthodox,157.48,162.56,125,30,27,-1,-1,-1,-1,0,-3,0,0,0,15.24,15.24,3,-5,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,4:24,264,250,210,900,285,631,850
Demetrious Johnson,Wilson Reis,Demetrious Johnson Wilson Reis 4/15/2017,Wilson Reis Demetrious Johnson 4/15/2017,-1100,700,9.090909091,700,4/15/2017,"Kansas City, Missouri, USA", USA,Red,TRUE,Flyweight,MALE,5,0,3,0,25.625,0.3875,0.625,4.375,0.48375,3,2,20,0,0,0,4,0,2,0,6,Southpaw,162.56,165.1,125,0,11,0,61.33333333,0.530666667,0.6,4.266666667,0.436,11,2,56,11,0,1,7,2,3,0,13,Orthodox,160.02,167.64,125,30,32,0,-8,-8,-7,0,-36,-11,-2,-1,2.54,-2.54,-2,-35.70833333,0.025,0.108333333,0,1,3,0,,,,,,,,,,,,0,1,,,,,,,,,,,,3,,Red,SUB,Armbar,3,4:49,889,105,1200,500,800,155,2000
Rose Namajunas,Michelle Waterson,Rose Namajunas Michelle Waterson 4/15/2017,Michelle Waterson Rose Namajunas 4/15/2017,110,-130,110,76.92307692,4/15/2017,"Kansas City, Missouri, USA", USA,Red,FALSE,Women's Strawweight,FEMALE,3,0,2,0,29.5,0.74,3,2,1,2,0,4,0,0,0,0,0,2,0,2,Orthodox,160.02,157.48,115,1,0,0,42.8,0.422,1,2.8,0.592,3,2,15,1,0,0,1,0,2,0,3,Orthodox,165.1,165.1,115,24,31,1,2,-1,-1,2,-11,-1,0,0,-5.08,-7.62,-7,-13.3,2,-0.8,0,1,6,4,,,4,,,,,,,,,,,,,6,,,,,,,,,,,Red,SUB,Rear Naked Choke,2,2:47,467,200,230,400,450,650,800
Jacare Souza,Robert Whittaker,Jacare Souza Robert Whittaker 4/15/2017,Robert Whittaker Jacare Souza 4/15/2017,-265,225,37.73584906,225,4/15/2017,"Kansas City, Missouri, USA", USA,Blue,FALSE,Middleweight,MALE,3,0,6,0,51.7,0.447,0,0.4,0.3,6,2,23,1,0,0,4,4,0,0,8,Orthodox,182.88,185.42,185,0,2,0,20.75,0.5375,0.875,1.375,0.4,5,1,14,0,0,0,1,2,4,0,7,Orthodox,185.42,182.88,185,37,26,0,4,1,1,-1,9,1,2,-4,-2.54,2.54,11,30.95,-0.875,-0.975,0,1,6,,,,,,,,,,,,,,,,,,,,,6,,,,,,,Blue,KO/TKO,Kick,2,3:28,508,305,500,110,2500,575,325
Jeremy Stephens,Renato Moicano,Jeremy Stephens Renato Moicano 4/15/2017,Renato Moicano Jeremy Stephens 4/15/2017,-170,150,58.82352941,150,4/15/2017,"Kansas City, Missouri, USA", USA,Blue,FALSE,Featherweight,MALE,3,0,2,0,46,0.385,0.5,0.5,0.25,2,0,5,0,0,1,0,0,1,0,2,Orthodox,180.34,182.88,145,1,0,0,35.04166667,0.455416667,0.416666667,1.125,0.294583333,3,12,65,0,0,1,5,5,0,1,12,Orthodox,172.72,180.34,145,30,27,1,2,-1,-10,12,-60,0,-6,1,7.62,2.54,3,10.95833333,0.083333333,-0.625,0,1,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,,Red,S-DEC,,3,5:00,900,200,300,1350,625,170,1000
Alexander Volkov,Roy Nelson,Alexander Volkov Roy Nelson 4/15/2017,Roy Nelson Alexander Volkov 4/15/2017,-155,135,64.51612903,135,4/15/2017,"Kansas City, Missouri, USA", USA,Red,FALSE,Heavyweight,MALE,3,0,1,0,22.61111111,0.382777778,0.055555556,0.833333333,0.153333333,3,9,42,1,0,0,1,8,0,0,9,Orthodox,182.88,182.88,263,0,1,0,45,0.53,0,1,0.5,1,0,3,0,0,1,0,0,0,0,1,Orthodox,200.66,203.2,250,28,40,0,0,2,8,-9,39,1,8,0,-17.78,-20.32,-12,-22.38888889,0.055555556,-0.166666667,0,1,,11,,,,,11,,,,,,,,,,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,140,450,900,900,400,225
Patrick Williams,Tom Duquesnoy,Patrick Williams Tom Duquesnoy 4/15/2017,Tom Duquesnoy Patrick Williams 4/15/2017,650,-1000,650,10,4/15/2017,"Kansas City, Missouri, USA", USA,Blue,FALSE,Bantamweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,135,0,1,0,8,0.45,0.5,1,0.33,1,1,3,0,0,0,0,0,1,0,1,Orthodox,172.72,185.42,135,35,23,0,-1,-1,-1,1,-3,0,0,-1,-2.54,-12.7,12,-8,-0.5,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Elbows,2,0:28,328,1500,431,1370,280,1225,-120
Bobby Green,Rashid Magomedov,Bobby Green Rashid Magomedov 4/15/2017,Rashid Magomedov Bobby Green 4/15/2017,270,-330,270,30.3030303,4/15/2017,"Kansas City, Missouri, USA", USA,Blue,FALSE,Lightweight,MALE,3,1,0,0,64.2,0.53,0.2,0.8,0.4,4,1,15,0,0,0,3,1,0,0,4,Orthodox,175.26,177.8,155,2,0,0,46.5,0.466666667,0.166666667,0.666666667,0.25,4,2,14,0,0,1,1,1,1,0,4,Orthodox,177.8,180.34,155,30,32,1,0,0,0,1,1,0,0,-1,-2.54,-2.54,-2,17.7,0.033333333,0.133333333,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,395,-130,1995,1060,1100,275
Louis Smolka,Tim Elliott,Louis Smolka Tim Elliott 4/15/2017,Tim Elliott Louis Smolka 4/15/2017,160,-185,160,54.05405405,4/15/2017,"Kansas City, Missouri, USA", USA,Blue,FALSE,Flyweight,MALE,3,4,0,0,51.71428571,0.482857143,1.285714286,3.285714286,0.642857143,2,5,21,1,0,0,2,0,0,0,2,Southpaw,170.18,167.64,135,2,0,0,47.75,0.48875,2,1.5,0.3375,4,3,20,0,0,0,2,2,1,0,5,Orthodox,175.26,172.72,135,25,30,-2,0,-2,-3,-2,1,1,-2,-1,-5.08,-5.08,-5,3.96428571,-0.714285714,1.785714286,0,1,9,12,,,,,,,,,,,,12,,,,,,,,,,,,,9,,Blue,U-DEC,,3,5:00,900,277,120,900,450,1170,535
